Volcano Name,Area of Activity,VEI,Start Year,Start Month,Start Day,Evidence Method (dating),End Year,End Month,End Day,Latitude,Longitude
Sangeang Api,Summit crater,2,2017,7,15,Historical Observations,2020,6,10,-8.2,119.07
Marapi,Verbeek Crater,1,2017,6,4,Historical Observations,2017,6,4,-0.38,100.474
Karangetang,,,2017,5,10,Historical Observations,2017,5,10,2.781,125.407
Dieng Volcanic Complex,Sileri Crater,1,2017,4,30,Historical Observations,2017,7,2,-7.2,109.879
Ebulobo,,,2017,3,12,Historical Observations,2017,3,12,-8.817,121.191
Krakatau,Summit crater,1,2017,2,19,Historical Observations,2017,2,19,-6.102,105.423
Kerinci,,1,2016,11,15,Historical Observations,2016,11,21,-1.697,101.264
Gamalama,,1,2016,8,3,Historical Observations,2016,8,4,0.8,127.33
Rinjani,Barujari Crater,2,2016,8,1,Historical Observations,2016,9,27,-8.42,116.47
Kerinci,,2,2016,3,31,Historical Observations,2016,6,9,-1.697,101.264
Soputan,,3,2016,1,2,Historical Observations,2016,2,7,1.112,124.737
Marapi,,1,2015,11,14,Historical Observations,2015,11,14,-0.38,100.474
Tengger Caldera,Bromo cone,2,2015,11,12,Historical Observations,2016,11,12,-7.942,112.95
Rinjani,Barujari crater,2,2015,10,25,Historical Observations,2015,12,24,-8.42,116.47
Lokon-Empung,Tompaluan,1,2015,8,30,Historical Observations,2015,9,28,1.358,124.792
Gamalama,,2,2015,7,16,Historical Observations,2015,9,8,0.8,127.33
Sirung,,1,2015,7,7,Historical Observations,2015,7,8,-8.508,124.13
Cereme,,,2015,6,24,Historical Observations,2015,6,24,-6.895,108.408
Lokon-Empung,Tompaluan,1,2015,5,20,Historical Observations,2015,5,27,1.358,124.792
Soputan,,3,2015,1,6,Historical Observations,2015,3,7,1.112,124.737
Gamalama,,2,2014,12,18,Historical Observations,2014,12,25,0.8,127.33
Raung,,3,2014,11,23,Historical Observations,2015,8,30,-8.119,114.056
Lewotobi,,2,2014,10,6,Historical Observations,2014,10,6,-8.542,122.775
Karangetang,Main crater,2,2014,6,8,Historical Observations,2016,3,15,2.781,125.407
Sangeang Api,Summit crater,3,2014,5,30,Historical Observations,2015,11,5,-8.2,119.07
Semeru,Jonggring Seloko,3,2014,4,1,Historical Observations,2021,6,24,-8.108,112.922
Krakatau,Anak Krakatau,1,2014,3,31,Historical Observations,2014,3,31,-6.102,105.423
Merapi,,3,2014,3,9,Historical Observations,2014,4,20,-7.54,110.446
Slamet,,2,2014,3,8,Historical Observations,2014,9,17,-7.242,109.208
Kelut,,4,2014,2,13,Historical Observations,2014,2,15,-7.93,112.308
Karangetang,,1,2014,2,9,Historical Observations,2014,2,9,2.781,125.407
Marapi,,1,2014,2,3,Historical Observations,2014,2,26,-0.38,100.474
Raung,,1,2014,1,4,Historical Observations,2014,1,4,-8.119,114.056
Merapi,,2,2013,11,18,Historical Observations,2013,11,18,-7.54,110.446
Tangkuban Parahu,,1,2013,10,5,Historical Observations,2013,10,5,-6.77,107.6
Sinabung,,4,2013,9,15,Historical Observations,2018,8,30,3.17,98.392
Iliwerung,Hobal (submarine vent on SE flank),0,2013,8,20,Historical Observations,2013,8,20,-8.53,123.57
Raung,,1,2013,6,29,Historical Observations,2013,7,31,-8.119,114.056
Semeru,Jonggring Seloko,1,2013,6,4,Historical Observations,2013,11,29,-8.108,112.922
Kerinci,,2,2013,6,2,Historical Observations,2013,6,2,-1.697,101.264
Tangkuban Parahu,Ratu Crater,2,2013,2,21,Historical Observations,2013,3,6,-6.77,107.6
Gamkonora,,1,2013,1,23,Historical Observations,2013,5,27,1.38,127.53
Raung,,3,2012,10,16,Historical Observations,2013,1,6,-8.119,114.056
Paluweh,Rokatenda,2,2012,10,8,Historical Observations,2013,10,31,-8.32,121.708
Marapi,,1,2012,9,26,Historical Observations,2012,9,26,-0.38,100.474
Gamalama,Summit crater,1,2012,9,15,Historical Observations,2012,9,17,0.8,127.33
Lokon-Empung,Tompaluan,2,2012,9,15,Historical Observations,2013,9,9,1.358,124.792
Soputan,,3,2012,8,26,Historical Observations,2012,9,19,1.112,124.737
Karangetang,,2,2012,5,14,Historical Observations,2013,9,5,2.781,125.407
Sirung,,2,2012,5,8,Historical Observations,2012,5,12,-8.508,124.13
Marapi,,1,2012,3,1,Historical Observations,2012,5,18,-0.38,100.474
Lewotolok,Summit,1,2012,1,2,Historical Observations,2012,1,14,-8.274,123.508
Kerinci,,1,2011,12,15,Historical Observations,2011,12,15,-1.697,101.264
Gamalama,,2,2011,12,5,Historical Observations,2011,12,23,0.8,127.33
Marapi,,2,2011,8,3,Historical Observations,2011,10,12,-0.38,100.474
Krakatau,Anak Krakatau,2,2011,7,31,Historical Observations,2012,9,9,-6.102,105.423
Soputan,,3,2011,7,3,Historical Observations,2011,8,15,1.112,124.737
Lokon-Empung,Tompaluan,2,2011,6,26,Historical Observations,2012,5,1,1.358,124.792
Semeru,Jonggring Seloko,2,2011,5,13,Historical Observations,2012,7,20,-8.108,112.922
Karangetang,,2,2011,3,11,Historical Observations,2011,8,13,2.781,125.407
Lokon-Empung,Tompaluan,1,2011,2,22,Historical Observations,2011,2,22,1.358,124.792
Tengger Caldera,Bromo,3,2010,11,26,Historical Observations,2011,6,13,-7.942,112.95
Merapi,,4,2010,10,26,Historical Observations,2012,7,15,-7.54,110.446
Krakatau,Anak Krakatau,2,2010,10,25,Historical Observations,2011,3,9,-6.102,105.423
Sinabung,,2,2010,8,27,Historical Observations,2010,9,18,3.17,98.392
Karangetang,,3,2010,8,6,Historical Observations,2010,12,16,2.781,125.407
Semeru,Jonggring Seloko,2,2010,1,5,Historical Observations,2010,11,29,-8.108,112.922
Dieng Volcanic Complex,Sileri Crater,1,2009,9,27,Historical Observations,2009,9,27,-7.2,109.879
Rinjani,NE flank of Gunung Barujari,2,2009,5,2,Historical Observations,2010,5,23,-8.42,116.47
Sangeang Api,,,2009,5,1,,2009,6,3,-8.2,119.07
Slamet,,1,2009,4,21,Historical Observations,2009,6,22,-7.242,109.208
Kerinci,,1,2009,4,1,Historical Observations,2009,6,19,-1.697,101.264
Krakatau,Anak Krakatau,2,2009,3,25,Historical Observations,2009,9,16,-6.102,105.423
Dieng Volcanic Complex,Sibanteng crater,1,2009,1,15,Historical Observations,2009,1,15,-7.2,109.879
Dempo,,1,2009,1,1,Historical Observations,2009,1,1,-4.016,103.121
Karangetang,,2,2008,11,29,Historical Observations,2010,3,24,2.781,125.407
Raung,,2,2008,6,12,Historical Observations,2008,6,17,-8.119,114.056
Soputan,,3,2008,6,6,Historical Observations,2008,11,2,1.112,124.737
Merapi,,,2008,5,19,,,,,-7.54,110.446
Gamalama,,1,2008,5,10,,,,,0.8,127.33
Egon,,2,2008,4,15,Historical Observations,2008,4,28,-8.676,122.455
Ibu,,1,2008,4,5,Historical Observations,2021,6,24,1.488,127.63
Kerinci,,1,2008,3,24,Historical Observations,,,,-1.697,101.264
Karangetang,,1,2008,3,12,,,,,2.781,125.407
Talang,,2,2007,11,27,Historical Observations,2007,12,16,-0.979,100.681
Krakatau,Anak Krakatau,2,2007,10,23,Historical Observations,2008,8,30,-6.102,105.423
Kelut,,2,2007,10,16,Historical Observations,2008,4,16,-7.93,112.308
Kerinci,,1,2007,9,9,Historical Observations,2007,9,9,-1.697,101.264
Gamalama,,1,2007,8,23,,,,,0.8,127.33
Raung,,2,2007,7,26,Historical Observations,2007,8,26,-8.119,114.056
Gamkonora,,2,2007,7,8,Historical Observations,2007,7,16,1.38,127.53
Soputan,,3,2007,6,16,Historical Observations,2007,11,9,1.112,124.737
Talang,Main crater,2,2007,3,19,Historical Observations,2007,6,22,-0.979,100.681
"Tara, Batu",,2,2007,1,17,Historical Observations,2015,11,26,-7.791,123.585
Soputan,,1,2006,12,14,Historical Observations,2006,12,26,1.112,124.737
Dempo,,1,2006,9,25,Historical Observations,2006,9,25,-4.016,103.121
Talang,,1,2006,9,10,Historical Observations,2006,9,10,-0.979,100.681
Karangetang,,1,2006,7,3,Historical Observations,2007,10,16,2.781,125.407
"Tara, Batu",,1,2006,7,1,,2006,7,1,-7.791,123.585
Merapi,,1,2006,3,16,Historical Observations,2007,8,9,-7.54,110.446
Soputan,,1,2005,12,26,Historical Observations,2006,1,24,1.112,124.737
Ambang,,1,2005,12,22,Historical Observations,,,,0.75,124.42
Raung,,2,2005,7,23,,2005,8,15,-8.119,114.056
Soputan,,2,2005,4,19,Historical Observations,2005,7,18,1.112,124.737
Talang,North & south flanks,2,2005,4,12,Historical Observations,2005,7,18,-0.979,100.681
Egon,Summit and southern flank,1,2005,2,6,Historical Observations,2005,2,27,-8.676,122.455
Soputan,,3,2004,10,18,Historical Observations,2004,12,27,1.112,124.737
Rinjani,Summit and NE flank of Barujari,2,2004,10,1,Historical Observations,2004,10,5,-8.42,116.47
Marapi,,2,2004,8,5,Historical Observations,2004,8,5,-0.38,100.474
Egon,,2,2004,7,3,Historical Observations,2004,9,16,-8.676,122.455
Kerinci,,2,2004,6,22,Historical Observations,2004,10,24,-1.697,101.264
Tengger Caldera,Bromo,2,2004,6,8,Historical Observations,2004,6,24,-7.942,112.95
Awu,,2,2004,6,2,Historical Observations,2004,8,16,3.689,125.447
Ibu,,0,2004,5,16,Historical Observations,2005,2,22,1.488,127.63
Raung,,2,2004,4,15,,2004,10,8,-8.119,114.056
Karangetang,,2,2004,4,2,Historical Observations,2005,8,5,2.781,125.407
Egon,,1,2004,1,29,Historical Observations,2004,2,5,-8.676,122.455
Lokon-Empung,Tompaluan,3,2003,9,12,Historical Observations,2003,9,12,1.358,124.792
Gamalama,,2,2003,7,31,Historical Observations,2003,10,2,0.8,127.33
Dieng Volcanic Complex,Sileri Crater,1,2003,7,16,Historical Observations,2003,7,16,-7.2,109.879
Leroboleng,,3,2003,6,26,Historical Observations,2003,7,29,-8.365,122.833
Lewotobi,Lewotobi Lakilaki,2,2003,5,30,Historical Observations,2003,9,1,-8.542,122.775
Lokon-Empung,Tompaluan,2,2002,12,23,Historical Observations,2003,4,1,1.358,124.792
Papandayan,"Kawah Baru, Kawah Nangklak",2,2002,11,11,Historical Observations,2002,12,19,-7.32,107.73
Lewotobi,Lewotobi Lakilaki,1,2002,10,12,Historical Observations,2002,10,12,-8.542,122.775
Ruang,,4,2002,9,25,Historical Observations,2002,9,29,2.3,125.37
Ijen,Kawah Ijen,1,2002,7,29,,2002,8,15,-8.058,114.242
Raung,,2,2002,6,16,Historical Observations,2002,8,25,-8.119,114.056
Lokon-Empung,Tompaluan,2,2002,2,9,Historical Observations,2002,5,16,1.358,124.792
Talang,"Kepundan Panjang & Kabuo, Gabuo Atas",1,2001,9,25,Historical Observations,2001,11,15,-0.979,100.681
Krakatau,Anak Krakatau,1,2001,7,21,Historical Observations,2001,9,17,-6.102,105.423
Ibu,,0,2001,5,28,Historical Observations,2001,10,3,1.488,127.63
Kerinci,,2,2001,5,12,Historical Observations,2002,8,27,-1.697,101.264
Marapi,Verbeek Crater,2,2001,4,13,Historical Observations,2001,6,5,-0.38,100.474
Inielika,Summit crater complex,2,2001,1,11,Historical Observations,2001,3,16,-8.73,120.98
Peuet Sague,,2,2000,12,25,Historical Observations,2000,12,26,4.903,96.289
Tengger Caldera,Bromo,2,2000,11,29,Historical Observations,2001,1,15,-7.942,112.95
Ijen,Kawah Ijen,1,2000,9,1,,2000,9,10,-8.058,114.242
Kaba,,1,2000,8,22,Historical Observations,2000,8,27,-3.522,102.615
Slamet,,1,2000,7,16,,2000,10,16,-7.242,109.208
Raung,,2,2000,7,9,Historical Observations,2000,7,9,-8.119,114.056
Krakatau,Anak Krakatau,1,2000,5,29,Historical Observations,2000,10,30,-6.102,105.423
Soputan,,2,2000,5,13,Historical Observations,2003,9,4,1.112,124.737
Lokon-Empung,Tompaluan,2,2000,5,10,Historical Observations,2001,8,18,1.358,124.792
Marapi,,2,2000,3,11,Historical Observations,2000,4,3,-0.38,100.474
Raung,,2,1999,7,30,Historical Observations,,,,-8.119,114.056
Ijen,Kawah Ijen,1,1999,6,28,Historical Observations,1999,6,28,-8.058,114.242
Iliwerung,Hobal (submarine vent on SE flank),0,1999,5,22,Historical Observations,1999,9,16,-8.53,123.57
Slamet,,1,1999,5,1,Historical Observations,1999,9,16,-7.242,109.208
Marapi,,2,1999,4,16,Historical Observations,1999,9,16,-0.38,100.474
Lewotobi,Lewotobi Lakilaki,2,1999,3,31,Historical Observations,1999,7,1,-8.542,122.775
Kerinci,,2,1999,3,16,Historical Observations,1999,9,16,-1.697,101.264
Karangetang,,3,1999,3,16,Historical Observations,2003,10,28,2.781,125.407
Batur,,1,1999,3,15,Historical Observations,2000,6,16,-8.242,115.375
Peuet Sague,,1,1999,3,9,Historical Observations,1999,4,30,4.903,96.289
Krakatau,Anak Krakatau,2,1999,2,5,Historical Observations,1999,8,16,-6.102,105.423
Ibu,,2,1998,12,18,Historical Observations,1999,9,16,1.488,127.63
Kerinci,,2,1998,11,3,Historical Observations,,,,-1.697,101.264
Karangetang,,1,1998,7,5,Historical Observations,,,,2.781,125.407
Kerinci,,2,1998,7,4,Historical Observations,1998,7,4,-1.697,101.264
Batur,,1,1998,7,4,Historical Observations,,,,-8.242,115.375
Peuet Sague,,1,1998,4,19,Historical Observations,1998,4,26,4.903,96.289
Sangeang Api,,2,1997,7,2,Historical Observations,1999,7,2,-8.2,119.07
Raung,,2,1997,4,16,Historical Observations,,,,-8.119,114.056
Krakatau,Anak Krakatau,2,1997,3,16,Historical Observations,1997,5,16,-6.102,105.423
Dieng Volcanic Complex,Near Padangsari crater,1,1996,12,31,Historical Observations,1996,12,31,-7.2,109.879
Karangetang,,1,1996,10,1,Historical Observations,1997,6,16,2.781,125.407
Kerinci,,1,1996,8,16,Historical Observations,1996,10,16,-1.697,101.264
Krakatau,Anak Krakatau,2,1996,7,16,Historical Observations,1996,10,16,-6.102,105.423
Gamalama,,2,1996,7,2,Historical Observations,,,,0.8,127.33
Ruang,,,1996,6,27,,,,,2.3,125.37
Sorikmarapi,,,1996,5,5,,,,,0.686,99.539
Karangetang,,1,1995,11,9,Historical Observations,1995,12,17,2.781,125.407
Rinjani,,,1995,9,12,,,,,-8.42,116.47
Tengger Caldera,Bromo,1,1995,9,9,Historical Observations,1995,12,16,-7.942,112.95
Raung,,2,1995,8,15,,,,,-8.119,114.056
Raung,,1,1995,3,16,Historical Observations,1995,3,16,-8.119,114.056
Tengger Caldera,Bromo,1,1995,3,3,Historical Observations,1995,5,26,-7.942,112.95
Dempo,,1,1994,10,16,Historical Observations,1994,10,16,-4.016,103.121
Batur,Batur III,1,1994,8,7,Historical Observations,1994,8,14,-8.242,115.375
Raung,,1,1994,7,14,Historical Observations,1994,7,14,-8.119,114.056
Rinjani,Gunung Barujari,3,1994,6,3,Historical Observations,1994,11,21,-8.42,116.47
Krakatau,Anak Krakatau,2,1994,3,19,Historical Observations,1995,6,16,-6.102,105.423
Ijen,Kawah Ijen,1,1994,2,3,Historical Observations,1994,2,3,-8.058,114.242
Gamalama,,2,1994,1,16,Historical Observations,1994,10,15,0.8,127.33
Iliwerung,Hobal (submarine vent on SE flank),2,1993,9,15,Historical Observations,1993,9,19,-8.53,123.57
Ijen,Kawah Ijen,1,1993,7,3,Historical Observations,1993,8,1,-8.058,114.242
Iliboleng,,1,1993,6,16,Historical Observations,1993,7,16,-8.342,123.258
Gamalama,,2,1993,5,6,Historical Observations,1993,5,21,0.8,127.33
Raung,,1,1993,4,1,Historical Observations,,,,-8.119,114.056
Dieng Volcanic Complex,Near Pandawa Lima temples,1,1993,1,23,Historical Observations,1993,1,23,-7.2,109.879
Krakatau,Anak Krakatau,1,1992,11,7,Historical Observations,1993,10,16,-6.102,105.423
Awu,SE part of summit crater,1,1992,4,7,Historical Observations,,,,3.689,125.447
Merapi,NW of 1984 lava dome,2,1992,1,20,Historical Observations,2002,10,19,-7.54,110.446
Iliboleng,,1,1991,11,3,Historical Observations,1991,11,15,-8.342,123.258
Arjuno-Welirang,Gunung Welirang,,1991,9,13,,,,,-7.733,112.575
Raung,,2,1991,9,10,Historical Observations,1991,11,12,-8.119,114.056
Peuet Sague,,2,1991,7,2,Historical Observations,,,,4.903,96.289
Karangetang,,2,1991,7,2,Historical Observations,1993,12,31,2.781,125.407
Gamalama,,1,1991,6,15,,1991,6,15,0.8,127.33
Soputan,,2,1991,5,22,Historical Observations,1996,9,29,1.112,124.737
Lokon-Empung,Tompaluan,3,1991,5,17,Historical Observations,1992,1,16,1.358,124.792
Lewotobi,Lewotobi Lakilaki,1,1991,5,11,Historical Observations,1992,12,31,-8.542,122.775
Iliboleng,,1,1991,5,8,Historical Observations,1991,6,30,-8.342,123.258
Ranakah,Anak Ranakah,1,1991,3,16,Historical Observations,,,,-8.62,120.52
Kerinci,,2,1990,12,31,Historical Observations,,,,-1.697,101.264
Gamalama,,3,1990,4,25,Historical Observations,1990,4,26,0.8,127.33
Kelut,,4,1990,2,10,Historical Observations,1990,3,13,-7.93,112.308
Lewotobi,Lewotabi Lakilaki,1,1990,1,28,Historical Observations,1990,6,16,-8.542,122.775
Raung,,2,1990,1,16,Historical Observations,1990,12,16,-8.119,114.056
Karangetang,,1,1989,7,16,Historical Observations,1989,7,16,2.781,125.407
Soputan,,2,1989,4,22,Historical Observations,1989,4,23,1.112,124.737
Makian,,3,1988,7,29,Historical Observations,1988,8,5,0.32,127.4
Slamet,,1,1988,7,12,Historical Observations,1988,7,13,-7.242,109.208
Banda Api,"Summit, north and south flanks",3,1988,5,9,Historical Observations,1988,5,17,-4.523,129.881
Lokon-Empung,Tompaluan,1,1988,4,21,Historical Observations,1988,5,1,1.358,124.792
Krakatau,Anak Krakatau (S flank 1960-81 cone),2,1988,2,14,Historical Observations,1988,4,16,-6.102,105.423
Gamalama,,2,1988,2,12,Historical Observations,1988,3,16,0.8,127.33
Ranakah,Anak Ranakah,3,1987,12,28,Historical Observations,1989,4,16,-8.62,120.52
Iliboleng,,2,1987,10,2,Historical Observations,1987,10,2,-8.342,123.258
Raung,,1,1987,5,16,Historical Observations,1989,7,28,-8.119,114.056
Gamkonora,,1,1987,4,13,Historical Observations,1987,4,26,1.38,127.53
Marapi,Verbeek Crater,2,1987,1,15,Historical Observations,1994,8,12,-0.38,100.474
Merapi,,2,1986,10,10,Historical Observations,1990,8,16,-7.54,110.446
Dieng Volcanic Complex,Sileri Crater,1,1986,8,6,Historical Observations,1986,8,6,-7.2,109.879
Talang,NE flank (Panjang Crater),1,1986,7,16,,1986,10,13,-0.979,100.681
Sorikmarapi,,1,1986,7,5,Historical Observations,1986,7,14,0.686,99.539
Peuet Sague,,2,1986,7,2,Historical Observations,,,,4.903,96.289
Iliboleng,,1,1986,5,28,Historical Observations,1986,11,24,-8.342,123.258
Lokon-Empung,Tompaluan,2,1986,3,22,Historical Observations,1987,5,13,1.358,124.792
Tangkuban Parahu,Kawah Baru,1,1985,11,15,,1985,11,15,-6.77,107.6
Raung,,2,1985,8,23,Historical Observations,1986,2,28,-8.119,114.056
Sangeang Api,Doro Api,3,1985,7,30,Historical Observations,1988,2,16,-8.2,119.07
Soputan,,2,1985,5,19,Historical Observations,1985,5,20,1.112,124.737
Paluweh,Rokatenda (west side of lava dome),1,1985,2,3,Historical Observations,1985,2,3,-8.32,121.708
Marapi,"Kepundan Tuo, Kepundan B",1,1984,11,15,Historical Observations,1984,11,15,-0.38,100.474
Lokon-Empung,Tompaluan,1,1984,6,5,,1984,11,16,1.358,124.792
Soputan,,3,1984,5,24,Historical Observations,1984,8,31,1.112,124.737
Tengger Caldera,Bromo,1,1984,5,12,Historical Observations,1984,5,31,-7.942,112.95
Paluweh,Rokatenda (west side of lava dome),2,1984,5,9,Historical Observations,1984,5,21,-8.32,121.708
Galunggung,,1,1984,1,9,Historical Observations,1984,1,31,-7.25,108.058
Tengger Caldera,Bromo,1,1983,12,21,Historical Observations,1983,12,21,-7.942,112.95
Tangkuban Parahu,Kawah Ratu,1,1983,9,14,Historical Observations,,,,-6.77,107.6
Iliwerung,Hobal (submarine vent on SE flank),1,1983,8,17,Historical Observations,1983,8,18,-8.53,123.57
Gamalama,,3,1983,8,9,Historical Observations,1983,8,12,0.8,127.33
Colo,Gunung Colo,4,1983,7,18,Historical Observations,1983,12,16,-0.162,121.601
Marapi,Kepundan Tuo and Kepundan Verbeek,1,1983,7,2,Historical Observations,,,,-0.38,100.474
Karangetang,Summit and SW flank (1443 m),3,1983,5,16,Historical Observations,1988,12,31,2.781,125.407
Iliboleng,,2,1983,5,11,Historical Observations,1984,4,13,-8.342,123.258
Tengger Caldera,Bromo,1,1983,4,15,,1983,6,28,-7.942,112.95
Marapi,,1,1982,12,16,Historical Observations,1982,12,16,-0.38,100.474
Iliboleng,,2,1982,11,17,Historical Observations,1982,11,17,-8.342,123.258
Soputan,,3,1982,8,26,Historical Observations,1982,11,10,1.112,124.737
Raung,,3,1982,7,18,Historical Observations,1982,7,20,-8.119,114.056
Karangetang,,1,1982,7,2,Historical Observations,,,,2.781,125.407
Galunggung,New crater at Gunung Jadi location,4,1982,4,5,Historical Observations,1983,1,8,-7.25,108.058
Marapi,,1,1982,3,10,Historical Observations,1982,5,16,-0.38,100.474
Dieng Volcanic Complex,Sikidang,1,1981,7,2,Historical Observations,,,,-7.2,109.879
Krakatau,Anak Krakatau,1,1981,4,24,Historical Observations,1981,10,20,-6.102,105.423
Gamkonora,,1,1981,3,4,Historical Observations,1981,7,25,1.38,127.53
Paluweh,Rokatenda,2,1980,11,5,Historical Observations,1981,9,16,-8.32,121.708
Gamalama,,2,1980,9,4,Historical Observations,1980,9,23,0.8,127.33
Tengger Caldera,Bromo,2,1980,6,5,Historical Observations,1980,9,20,-7.942,112.95
Marapi,,1,1980,3,29,Historical Observations,,,,-0.38,100.474
Karangetang,,1,1980,3,24,Historical Observations,1980,9,13,2.781,125.407
Krakatau,Anak Krakatau,2,1980,3,15,Historical Observations,1980,12,16,-6.102,105.423
Krakatau,Anak Krakatau,2,1979,7,15,Historical Observations,1979,11,16,-6.102,105.423
Peuet Sague,,2,1979,7,2,Historical Observations,,,,4.903,96.289
Karangetang,"NNW flank, 1300 m (Kawah Maralebule)",1,1979,5,31,Historical Observations,1979,5,31,2.781,125.407
Dieng Volcanic Complex,Sinila and Sigluduk,1,1979,2,20,Historical Observations,1979,2,20,-7.2,109.879
Krakatau,Anak Krakatau,1,1978,7,10,Historical Observations,1978,11,16,-6.102,105.423
Karangetang,,1,1978,2,22,Historical Observations,1978,12,18,2.781,125.407
Raung,,1,1978,1,16,Historical Observations,1979,12,16,-8.119,114.056
Mahawu,,0,1977,11,16,Historical Observations,,,,1.352,124.865
Raung,,2,1977,6,9,Historical Observations,1977,6,30,-8.119,114.056
Karangetang,South flank (1100 m) and summit,2,1976,9,15,Historical Observations,1977,9,16,2.781,125.407
Raung,,2,1976,6,7,Historical Observations,1976,11,21,-8.119,114.056
Batur,,1,1976,3,26,,1976,3,26,-8.242,115.375
Iliwerung,Hobal (submarine vent on SE flank),0,1976,3,8,,,,,-8.53,123.57
Lokon-Empung,Tompaluan,2,1975,11,16,Historical Observations,1980,7,2,1.358,124.792
Krakatau,Anak Krakatau,2,1975,3,27,Historical Observations,1975,10,26,-6.102,105.423
Raung,,1,1975,3,16,Historical Observations,1975,5,16,-8.119,114.056
Marapi,"Verbeek Crater, B and C Craters",2,1975,1,16,Historical Observations,1979,9,11,-0.38,100.474
Raung,,2,1974,6,15,Historical Observations,1974,7,17,-8.119,114.056
Slamet,,2,1974,5,29,,1974,5,29,-7.242,109.208
Batur,Batur III,2,1974,3,12,Historical Observations,1974,4,16,-8.242,115.375
Dempo,,2,1974,2,26,Historical Observations,1974,10,20,-4.016,103.121
Iliwerung,Hobal (submarine vent on SE flank),2,1973,12,5,Historical Observations,1974,8,22,-8.53,123.57
Paluweh,,2,1973,10,27,Historical Observations,1973,10,28,-8.32,121.708
Lokon-Empung,Tompaluan,1,1973,9,15,Historical Observations,1974,12,16,1.358,124.792
Slamet,,1,1973,8,16,Historical Observations,,,,-7.242,109.208
Marapi,Verbeek Crater,2,1973,7,24,Historical Observations,1973,7,24,-0.38,100.474
Raung,,1,1973,5,16,Historical Observations,1973,10,16,-8.119,114.056
Iliboleng,,2,1973,4,16,Historical Observations,1974,4,16,-8.342,123.258
Batur,,1,1973,3,30,Historical Observations,,,,-8.242,115.375
Dempo,,2,1973,1,24,Historical Observations,1973,1,25,-4.016,103.121
Soputan,,2,1973,1,6,Historical Observations,1973,5,27,1.112,124.737
Paluweh,Rokatenda,3,1972,10,22,Historical Observations,1973,1,16,-8.32,121.708
Merapi,,2,1972,10,6,Historical Observations,1985,3,16,-7.54,110.446
Krakatau,Anak Krakatau,2,1972,6,10,Historical Observations,1973,7,1,-6.102,105.423
Tengger Caldera,Bromo,2,1972,1,26,Historical Observations,1972,3,16,-7.942,112.95
Batur,Batur III,2,1972,1,19,Historical Observations,1972,3,16,-8.242,115.375
Karangetang,,3,1972,1,16,Historical Observations,1976,4,5,2.781,125.407
Sundoro,,2,1971,10,29,Historical Observations,1971,11,9,-7.3,109.992
Raung,,1,1971,9,14,Historical Observations,1971,9,14,-8.119,114.056
Iya,,1,1971,6,16,,1971,6,16,-8.891,121.641
Kerinci,,1,1971,6,16,,1971,6,16,-1.697,101.264
Soputan,,1,1971,5,19,Historical Observations,1971,5,19,1.112,124.737
Lokon-Empung,Tompaluan,2,1971,5,11,Historical Observations,1971,10,26,1.358,124.792
Batur,,1,1971,3,11,Historical Observations,1971,8,25,-8.242,115.375
Lewotobi,Lewotobi Lakilaki,2,1971,1,16,Historical Observations,,,,-8.542,122.775
